ELEMENT,HOLE,X,Y
RIM,R1,-41.83602292,9.906293194
RIM,R1,-41.73648178,9.84807753
RIM,R1,-41.66698082,9.961484576
RIM,R1,-41.58780982,10.02503666
RIM,R1,-41.49657029,10.01378562
RIM,R1,-41.42652428,10.1502477
RIM,R1,-41.35094609,10.26145432
RIM,R1,-41.25525424,10.22322536
RIM,R1,-41.16033294,10.18411152
RIM,R1,-41.06357711,10.11926029
RIM,R1,-40.97762668,10.15304122
RIM,R1,-40.89116747,10.18609079
RIM,R1,-40.80812869,10.26824854
RIM,R1,-40.71674777,10.24997062
RIM,R1,-40.61781122,10.10112416
RIM,R1,-40.53382675,10.18602125
RIM,R1,-40.43946533,10.06541083
RIM,R1,-40.35073994,10.04387781
RIM,R1,-40.26176948,9.99657325
RIM,R1,-40.17539668,10.04846934
RIM,R1,-40.08791985,10.07461637
RIM,R1,-40,10.2
RIM,R1,-39.91055301,10.24960971
RIM,R1,-39.82373069,10.09846172
RIM,R1,-39.73364955,10.17151328
RIM,R1,-39.64053518,10.29372552
RIM,R1,-39.54962983,10.31517289
RIM,R1,-39.46617325,10.18602125
RIM,R1,-39.37577868,10.20592831
RIM,R1,-39.29545962,10.07539691
RIM,R1,-39.21148609,10.0190192
RIM,R1,-39.11536921,10.11137619
RIM,R1,-39.02476947,10.12815632
RIM,R1,-38.92858325,10.19384943
RIM,R1,-38.82834674,10.28346871
RIM,R1,-38.75083923,10.17359805
RIM,R1,-38.66536968,10.13752371
RIM,R1,-38.59087235,10.0264642
RIM,R1,-38.49603924,10.06323641
RIM,R1,-38.4200119,9.97565224
RIM,R1,-38.33714537,9.936827435
RIM,R1,-38.26351822,9.84807753
RIM,R1,-38.15942119,9.930874566
RIM,R1,-38.0632887,9.963515912
RIM,R1,-37.98139966,9.921737634
RIM,R1,-37.86890517,10.02601291
RIM,R1,-37.75985,10.10466367
RIM,R1,-37.68300414,10.03601167
RIM,R1,-37.60718502,9.966791684
RIM,R1,-37.53844471,9.872759015
RIM,R1,-37.44612396,9.875105932
RIM,R1,-37.35357526,9.876591574
RIM,R1,-37.24744473,9.925393668
RIM,R1,-37.16782617,9.876963926
RIM,R1,-37.12576471,9.703255717
RIM,R1,-37.01780861,9.754308511
RIM,R1,-36.97038907,9.608698279
RIM,R1,-36.89437921,9.558117989
RIM,R1,-36.82695344,9.483236552
RIM,R1,-36.72804005,9.502461685
RIM,R1,-36.63689589,9.497113023
RIM,R1,-36.51139454,9.584864732
RIM,R1,-36.41037434,9.60088994
RIM,R1,-36.38048371,9.429162308
RIM,R1,-36.27085002,9.466998754
RIM,R1,-36.14155209,9.549993702
RIM,R1,-36.04879356,9.539056173
RIM,R1,-36.01454249,9.389149505
RIM,R1,-35.92279077,9.376939261
RIM,R1,-35.8919599,9.226809122
RIM,R1,-35.83233291,9.145110772
RIM,R1,-35.71042464,9.199024038
RIM,R1,-35.61954959,9.183805268
RIM,R1,-35.50669575,9.212638975
RIM,R1,-35.38185263,9.262570643
RIM,R1,-35.34659738,9.132816873
RIM,R1,-35.27862043,9.069685769
RIM,R1,-35.24660043,8.939844378
RIM,R1,-35.14490961,8.941964121
RIM,R1,-35.10342284,8.833659042
RIM,R1,-35.03883263,8.768833637
RIM,R1,-35,8.660254038
RIM,R1,-34.87386253,8.70245452
RIM,R1,-34.77236354,8.700248102
RIM,R1,-34.70970203,8.632981664
RIM,R1,-34.56832754,8.692492986
RIM,R1,-34.43894905,8.729101464
RIM,R1,-34.39021794,8.63830685
RIM,R1,-34.3426459,8.547329676
RIM,R1,-34.31021221,8.435457301
RIM,R1,-34.22265638,8.406087124
RIM,R1,-34.13518094,8.375829653
RIM,R1,-34.01875956,8.385389839
RIM,R1,-33.96050653,8.312649617
RIM,R1,-33.9803934,8.135031429
RIM,R1,-33.86148676,8.146082202
RIM,R1,-33.8667286,7.993034903
RIM,R1,-33.81260217,7.919508074
RIM,R1,-33.77485363,7.826081569
RIM,R1,-33.67533007,7.810316913
RIM,R1,-33.59151193,7.774117678
RIM,R1,-33.44356638,7.81365332
RIM,R1,-33.3431575,7.794161147
RIM,R1,-33.37380381,7.62256676
RIM,R1,-33.25784101,7.620624459
RIM,R1,-33.10795475,7.654391702
RIM,R1,-33.02453111,7.612388503
RIM,R1,-33.04361673,7.459807757
RIM,R1,-32.96157446,7.416952944
RIM,R1,-32.98395046,7.265331983
RIM,R1,-32.95586189,7.168167014
RIM,R1,-32.82286617,7.177133829
RIM,R1,-32.74267668,7.131751764
RIM,R1,-32.62676705,7.120248297
RIM,R1,-32.49237526,7.124469858
RIM,R1,-32.50362456,6.990483191
RIM,R1,-32.46133923,6.907909873
RIM,R1,-32.47565864,6.774947389
RIM,R1,-32.37937554,6.742158991
RIM,R1,-32.37743324,6.626196193
RIM,R1,-32.3389099,6.543189087
RIM,R1,-32.33955557,6.427876097
RIM,R1,-32.20659171,6.424390025
RIM,R1,-32.11196849,6.387601969
RIM,R1,-32.07609241,6.302960696
RIM,R1,-31.92288978,6.310530122
RIM,R1,-31.78879293,6.30068079
RIM,R1,-31.77405425,6.198694738
RIM,R1,-31.76046718,6.096933564
RIM,R1,-31.76825208,5.980714942
RIM,R1,-31.69602171,5.923170148
RIM,R1,-31.62417035,5.864819062
RIM,R1,-31.51150026,5.83398424
RIM,R1,-31.48163894,5.745707083
RIM,R1,-31.56107548,5.585602291
RIM,R1,-31.44556021,5.555318157
RIM,R1,-31.50283118,5.413293554
RIM,R1,-31.47711663,5.325688606
RIM,R1,-31.47359836,5.224985647
RIM,R1,-31.38546863,5.176132653
RIM,R1,-31.31908621,5.113449007
RIM,R1,-31.16654088,5.1
RIM,R1,-31.07885412,5.047341491
RIM,R1,-31.16634096,4.896577164
RIM,R1,-31.05803588,4.855090386
RIM,R1,-30.90563979,4.835557097
RIM,R1,-30.84161315,4.767554432
RIM,R1,-30.91173345,4.630703097
RIM,R1,-30.84929615,4.562372639
RIM,R1,-30.92218013,4.427548583
RIM,R1,-30.92901789,4.326636523
RIM,R1,-30.80097596,4.289575357
RIM,R1,-30.74114407,4.219503744
RIM,R1,-30.63615906,4.169050592
RIM,R1,-30.50842823,4.127052863
RIM,R1,-30.56482525,4.004994067
RIM,R1,-30.55333178,3.912938096
RIM,R1,-30.61226347,3.792891758
RIM,R1,-30.53300125,3.729149982
RIM,R1,-30.57083769,3.61951629
RIM,R1,-30.56302769,3.528339366
RIM,R1,-30.60307379,3.420201433
RIM,R1,-30.47932094,3.371449278
RIM,R1,-30.40298646,3.304516768
RIM,R1,-30.39822299,3.212709646
RIM,R1,-30.25167071,3.167424192
RIM,R1,-30.12902956,3.112305025
RIM,R1,-30.15006101,3.011428559
RIM,R1,-30.17209772,2.911157283
RIM,R1,-30.21916224,2.804610095
RIM,R1,-30.17096938,2.725831436
RIM,R1,-30.12340843,2.646424736
RIM,R1,-30.0280793,2.578914042
RIM,R1,-30.03021141,2.485747477
RIM,R1,-30.15961641,2.362467082
RIM,R1,-30.06142534,2.294500754
RIM,R1,-30.16381773,2.18062911
RIM,R1,-30.16961661,2.089512493
RIM,R1,-30.20075295,1.993679344
RIM,R1,-30.13464681,1.917630404
RIM,R1,-30.09370681,1.836022919
RIM,R1,-29.95496092,1.771211412
RIM,R1,-29.89057258,1.69173796
RIM,R1,-30.02434776,1.579988097
RIM,R1,-29.93676359,1.503960758
RIM,R1,-29.80023889,1.43348294
RIM,R1,-29.76333181,1.347682935
RIM,R1,-29.87602925,1.243067303
RIM,R1,-29.84072778,1.157502861
RIM,R1,-29.95532886,1.055737479
RIM,R1,-29.99626821,0.963249813
RIM,R1,-29.88862381,0.884630789
RIM,R1,-29.85636613,0.798321299
RIM,R1,-29.77496848,0.715003856
RIM,R1,-29.66930484,0.631852384
RIM,R1,-29.76404727,0.536443551
RIM,R1,-29.78473193,0.446008236
RIM,R1,-29.88116788,0.353357404
RIM,R1,-29.82848672,0.266350449
RIM,R1,-29.90153828,0.176269305
RIM,R1,-29.92538363,0.087919845
RIM,R1,-30,3.23114E-14
RIM,R1,-29.90038458,-0.088138009
RIM,R1,-29.85154589,-0.177141925
RIM,R1,-29.87846958,-0.265041602
RIM,R1,-29.75624402,-0.357719841
RIM,R1,-29.65985091,-0.451460659
RIM,R1,-29.71411579,-0.539060349
RIM,R1,-29.76911832,-0.62574753
RIM,R1,-29.84978579,-0.70977212
RIM,R1,-29.8314432,-0.800282776
RIM,R1,-29.81390921,-0.89116747
RIM,R1,-29.74741916,-0.987211251
RIM,R1,-29.78128753,-1.07402996
RIM,R1,-29.94505282,-1.145616523
RIM,R1,-29.87602925,-1.243067303
RIM,R1,-30.01119302,-1.315051387
RIM,R1,-30.04780591,-1.398689665
RIM,R1,-30.10984137,-1.478094111
RIM,R1,-30.07373218,-1.572166374
RIM,R1,-30.06317256,-1.662854629
RIM,R1,-29.95496092,-1.771211412
RIM,R1,-29.9216372,-1.867914136
RIM,R1,-30.08556545,-1.927170853
RIM,R1,-30.02926613,-2.028568733
RIM,R1,-29.92507971,-2.141490415
RIM,R1,-29.91974373,-2.234739014
RIM,R1,-30.06142534,-2.294500754
RIM,R1,-30.05751756,-2.386978845
RIM,R1,-30.20001316,-2.443411146
RIM,R1,-30.27011621,-2.516319041
RIM,R1,-30.19585286,-2.627013308
RIM,R1,-30.19506014,-2.719150477
RIM,R1,-30.14706762,-2.825282897
RIM,R1,-30.07621574,-2.939558818
RIM,R1,-30.19787625,-2.996809973
RIM,R1,-30.24824418,-3.0747168
RIM,R1,-30.37055277,-3.128797068
RIM,R1,-30.35080681,-3.228574879
RIM,R1,-30.45026239,-3.28823836
RIM,R1,-30.50288698,-3.363104107
RIM,R1,-30.60307379,-3.420201433
RIM,R1,-30.53961089,-3.537094551
RIM,R1,-30.52415867,-3.637434688
RIM,R1,-30.57952212,-3.710824921
RIM,R1,-30.49636549,-3.839717583
RIM,R1,-30.43784684,-3.960773525
RIM,R1,-30.51880001,-4.024530623
RIM,R1,-30.60013424,-4.087177956
RIM,R1,-30.70467497,-4.138545343
RIM,R1,-30.71839504,-4.229871075
RIM,R1,-30.73300288,-4.321271726
RIM,R1,-30.70337157,-4.434264297
RIM,R1,-30.76489117,-4.504263533
RIM,R1,-30.94326426,-4.515521869
RIM,R1,-30.91173345,-4.630703097
RIM,R1,-31.06336586,-4.652117278
RIM,R1,-31.12637669,-4.718189206
RIM,R1,-31.21182887,-4.771587603
RIM,R1,-31.21007194,-4.872336683
RIM,R1,-31.23116636,-4.961167368
RIM,R1,-31.16654088,-5.1
RIM,R1,-31.16830111,-5.20226822
RIM,R1,-31.34261026,-5.201884557
RIM,R1,-31.32438633,-5.316422896
RIM,R1,-31.26510461,-5.458168422
RIM,R1,-31.29198332,-5.547618456
RIM,R1,-31.44556021,-5.555318157
RIM,R1,-31.47351747,-5.643555675
RIM,R1,-31.62672052,-5.647848325
RIM,R1,-31.7175318,-5.692382681
RIM,R1,-31.68560675,-5.821800829
RIM,R1,-31.7163746,-5.908652574
RIM,R1,-31.70757581,-6.024798836
